"game_id","season","team","point_diff","wins","pred_prob","home","turnover_diff","off_pass_epa","off_rush_epa","def_pass_epa","def_rush_epa"
"2002_01_ARI_WAS",2002,"ARI",-8,0,0.313832760496724,0,0,0.0432704545870091,-0.0305013278751479,0.156046887303146,0.0972833259804776
"2002_01_ARI_WAS",2002,"WAS",8,1,0.686167239503335,1,0,0.156046887303146,0.0972833259804776,0.0432704545870091,-0.0305013278751479
"2002_01_ATL_GB",2002,"ATL",-3,0,0.407570659997522,0,0,0.146118209207421,0.430746314304027,0.369263990789121,0.0946882487269158
"2002_01_ATL_GB",2002,"GB",3,1,0.59242934000254,1,0,0.369263990789121,0.0946882487269158,0.146118209207421,0.430746314304027
"2002_01_BAL_CAR",2002,"BAL",-3,0,0.389533056995709,0,-1,-0.0548174451215515,-0.0158599225429094,0.00612582573900009,-0.0947762952664294
"2002_01_BAL_CAR",2002,"CAR",3,1,0.61046694300435,1,1,0.00612582573900009,-0.0947762952664294,-0.0548174451215515,-0.0158599225429094
"2002_01_DAL_HOU",2002,"DAL",-9,0,0.396906919505185,0,0,-0.38774539187681,0.0805006653875655,-0.104499680326354,-0.337145272685614
"2002_01_DAL_HOU",2002,"HOU",9,1,0.603093080494872,1,0,-0.104499680326354,-0.337145272685614,-0.38774539187681,0.0805006653875655
"2002_01_DET_MIA",2002,"DET",-28,0,-0.11762920534762,0,-1,-0.0101334012905704,-0.0340318481872887,0.693517905617288,0.103897470544325
"2002_01_DET_MIA",2002,"MIA",28,1,1.11762920534768,1,1,0.693517905617288,0.103897470544325,-0.0101334012905704,-0.0340318481872887
"2002_01_IND_JAX",2002,"IND",3,1,0.466495498777737,0,-1,0.16978776728796,-0.00582217408400199,0.041291312002427,0.0523116515852356
"2002_01_IND_JAX",2002,"JAX",-3,0,0.533504501222323,1,1,0.041291312002427,0.0523116515852356,0.16978776728796,-0.00582217408400199
"2002_01_KC_CLE",2002,"CLE",-1,0,0.449930319930837,1,1,0.356020067388838,-0.0863998509692324,0.347857384331185,0.339760619937702
"2002_01_KC_CLE",2002,"KC",1,1,0.550069680069225,0,-1,0.347857384331185,0.339760619937702,0.356020067388838,-0.0863998509692324
"2002_01_MIN_CHI",2002,"CHI",4,1,0.618568993706355,1,1,0.398882331329968,-0.288845271814234,0.180711693310486,0.0583658701970413
"2002_01_MIN_CHI",2002,"MIN",-4,0,0.381431006293704,0,-1,0.180711693310486,0.0583658701970413,0.398882331329968,-0.288845271814234
"2002_01_NO_TB",2002,"NO",6,1,0.658523527961993,0,0,0.16727139462299,-0.09523316781093,-0.148430149142355,-0.130241632234844
"2002_01_NO_TB",2002,"TB",-6,0,0.341476472038065,1,0,-0.148430149142355,-0.130241632234844,0.16727139462299,-0.09523316781093
"2002_01_NYJ_BUF",2002,"BUF",-6,0,0.533859759582517,1,-2,0.00311204609044546,-0.0481507772383338,0.221461436624247,-0.551783399453001
"2002_01_NYJ_BUF",2002,"NYJ",6,1,0.46614024041754,0,2,0.221461436624247,-0.551783399453001,0.00311204609044546,-0.0481507772383338
"2002_01_PHI_TEN",2002,"PHI",-3,0,0.237454065659439,0,0,-0.0826700053090607,0.03047790728964,0.369046488991546,-0.256861848917945
"2002_01_PHI_TEN",2002,"TEN",3,1,0.762545934340619,1,0,0.369046488991546,-0.256861848917945,-0.0826700053090607,0.03047790728964
"2002_01_PIT_NE",2002,"NE",16,1,0.627986798121554,1,-1,0.23725843479734,-0.55863392472245,-0.163402568477977,-0.0856294842867647
"2002_01_PIT_NE",2002,"PIT",-16,0,0.372013201878502,0,1,-0.163402568477977,-0.0856294842867647,0.23725843479734,-0.55863392472245
"2002_01_SD_CIN",2002,"CIN",-28,0,-0.123871960826891,1,0,-0.122384415835802,-0.411327903464553,0.525416615253003,0.2990389792208
"2002_01_SD_CIN",2002,"LAC",28,1,1.12387196082695,0,0,0.525416615253003,0.2990389792208,-0.122384415835802,-0.411327903464553
"2002_01_SEA_OAK",2002,"LV",14,1,0.670253294486992,1,-2,0.265230196576165,-0.0360977649014738,0.120481674761921,-0.246234000715049
"2002_01_SEA_OAK",2002,"SEA",-14,0,0.329746705513066,0,2,0.120481674761921,-0.246234000715049,0.265230196576165,-0.0360977649014738
"2002_01_SF_NYG",2002,"NYG",-3,0,0.312723383105721,1,-2,0.113464538991516,-0.503184328183441,0.153728902077543,-0.0647335660214087
"2002_01_SF_NYG",2002,"SF",3,1,0.687276616894336,0,2,0.153728902077543,-0.0647335660214087,0.113464538991516,-0.503184328183441
"2002_01_STL_DEN",2002,"DEN",7,1,0.46061587362139,1,-1,-0.0786175601875295,-0.0493695453154676,0.111514000228933,-0.205077209838367
"2002_01_STL_DEN",2002,"LA",-7,0,0.539384126378668,0,1,0.111514000228933,-0.205077209838367,-0.0786175601875295,-0.0493695453154676
"2002_02_ARI_SEA",2002,"ARI",11,1,0.590310940862462,0,0,-0.0450605696403525,0.210698664618431,0.0205839232198093,-0.340479761966231
"2002_02_ARI_SEA",2002,"SEA",-11,0,0.409689059137596,1,0,0.0205839232198093,-0.340479761966231,-0.0450605696403525,0.210698664618431
"2002_02_BUF_MIN",2002,"BUF",6,1,0.605312126701045,0,3,0.404609911873621,-0.510900205560761,-0.141499316055015,0.305968671059236
"2002_02_BUF_MIN",2002,"MIN",-6,0,0.394687873299014,1,-3,-0.141499316055015,0.305968671059236,0.404609911873621,-0.510900205560761
"2002_02_CHI_ATL",2002,"ATL",-1,0,0.490361664012446,1,0,-0.136816774083369,-0.280844983174763,-0.0291219387248913,-0.273749761403694
