"game_id","season","team","wins","pred_win","pred_tie","pred_loss","home","point_diff","turnover_diff","dome","temp","wind","off_pass_epa","off_rush_epa","def_pass_epa","def_rush_epa"
"2002_01_ARI_WAS",2002,"ARI",0,0.0423280423280423,0,0.957671957671958,0,-8,0,0,76,5,0.0432704545870091,-0.0305013278751479,0.156046887303146,0.0972833259804776
"2002_01_ARI_WAS",2002,"WAS",1,0.971590909090909,0,0.0284090909090909,1,8,0,0,76,5,0.156046887303146,0.0972833259804776,0.0432704545870091,-0.0305013278751479
"2002_01_ATL_GB",2002,"ATL",0,0.206703910614525,0,0.793296089385475,0,-3,0,0,83,9,0.146118209207421,0.430746314304027,0.369263990789121,0.0946882487269158
"2002_01_ATL_GB",2002,"GB",1,0.806818181818182,0.00568181818181818,0.1875,1,3,0,0,83,9,0.369263990789121,0.0946882487269158,0.146118209207421,0.430746314304027
"2002_01_BAL_CAR",2002,"BAL",0,0.342696629213483,0,0.657303370786517,0,-3,-1,0,78,12,-0.0548174451215515,-0.0158599225429094,0.00612582573900009,-0.0947762952664294
"2002_01_BAL_CAR",2002,"CAR",1,0.645348837209302,0,0.354651162790698,1,3,1,0,78,12,0.00612582573900009,-0.0947762952664294,-0.0548174451215515,-0.0158599225429094
"2002_01_DAL_HOU",2002,"DAL",0,0.334975369458128,0.0492610837438424,0.61576354679803,0,-9,0,1,70,0,-0.38774539187681,0.0805006653875655,-0.104499680326354,-0.337145272685614
"2002_01_DAL_HOU",2002,"HOU",1,0.634285714285714,0.0628571428571429,0.302857142857143,1,9,0,1,70,0,-0.104499680326354,-0.337145272685614,-0.38774539187681,0.0805006653875655
"2002_01_DET_MIA",2002,"DET",0,0.0368421052631579,0,0.963157894736842,0,-28,-1,0,87,12,-0.0101334012905704,-0.0340318481872887,0.693517905617288,0.103897470544325
"2002_01_DET_MIA",2002,"MIA",1,0.967567567567568,0,0.0324324324324324,1,28,1,0,87,12,0.693517905617288,0.103897470544325,-0.0101334012905704,-0.0340318481872887
"2002_01_IND_JAX",2002,"IND",1,0.524064171122995,0,0.475935828877005,0,3,-1,0,85,16,0.16978776728796,-0.00582217408400199,0.041291312002427,0.0523116515852356
"2002_01_IND_JAX",2002,"JAX",0,0.4,0.0048780487804878,0.595121951219512,1,-3,1,0,85,16,0.041291312002427,0.0523116515852356,0.16978776728796,-0.00582217408400199
"2002_01_KC_CLE",2002,"CLE",0,0.44973544973545,0,0.55026455026455,1,-1,1,0,86,0,0.356020067388838,-0.0863998509692324,0.347857384331185,0.339760619937702
"2002_01_KC_CLE",2002,"KC",1,0.608247422680412,0,0.391752577319588,0,1,-1,0,86,0,0.347857384331185,0.339760619937702,0.356020067388838,-0.0863998509692324
"2002_01_MIN_CHI",2002,"CHI",1,0.768041237113402,0.0103092783505155,0.221649484536082,1,4,1,0,85,3,0.398882331329968,-0.288845271814234,0.180711693310486,0.0583658701970413
"2002_01_MIN_CHI",2002,"MIN",0,0.196629213483146,0.0280898876404494,0.775280898876405,0,-4,-1,0,85,3,0.180711693310486,0.0583658701970413,0.398882331329968,-0.288845271814234
"2002_01_NO_TB",2002,"NO",1,0.899497487437186,0,0.100502512562814,0,6,0,0,90,6,0.16727139462299,-0.09523316781093,-0.148430149142355,-0.130241632234844
"2002_01_NO_TB",2002,"TB",0,0.08,0,0.92,1,-6,0,0,90,6,-0.148430149142355,-0.130241632234844,0.16727139462299,-0.09523316781093
"2002_01_NYJ_BUF",2002,"BUF",0,0.452513966480447,0.0223463687150838,0.525139664804469,1,-6,-2,0,86,6,0.00311204609044546,-0.0481507772383338,0.221461436624247,-0.551783399453001
"2002_01_NYJ_BUF",2002,"NYJ",1,0.629213483146067,0.0168539325842697,0.353932584269663,0,6,2,0,86,6,0.221461436624247,-0.551783399453001,0.00311204609044546,-0.0481507772383338
"2002_01_PHI_TEN",2002,"PHI",0,0.065,0.01,0.925,0,-3,0,0,83,0,-0.0826700053090607,0.03047790728964,0.369046488991546,-0.256861848917945
"2002_01_PHI_TEN",2002,"TEN",1,0.958115183246073,0.00523560209424084,0.0366492146596859,1,3,0,0,83,0,0.369046488991546,-0.256861848917945,-0.0826700053090607,0.03047790728964
"2002_01_PIT_NE",2002,"NE",1,0.762430939226519,0,0.237569060773481,1,16,-1,0,86,0,0.23725843479734,-0.55863392472245,-0.163402568477977,-0.0856294842867647
"2002_01_PIT_NE",2002,"PIT",0,0.254437869822485,0,0.745562130177515,0,-16,1,0,86,0,-0.163402568477977,-0.0856294842867647,0.23725843479734,-0.55863392472245
"2002_01_SD_CIN",2002,"CIN",0,0,0,1,1,-28,0,0,90,7,-0.122384415835802,-0.411327903464553,0.525416615253003,0.2990389792208
"2002_01_SD_CIN",2002,"LAC",1,0.982857142857143,0,0.0171428571428571,0,28,0,0,90,7,0.525416615253003,0.2990389792208,-0.122384415835802,-0.411327903464553
"2002_01_SEA_OAK",2002,"LV",1,0.883333333333333,0.00555555555555556,0.111111111111111,1,14,-2,0,70,7,0.265230196576165,-0.0360977649014738,0.120481674761921,-0.246234000715049
"2002_01_SEA_OAK",2002,"SEA",0,0.0824742268041237,0,0.917525773195876,0,-14,2,0,70,7,0.120481674761921,-0.246234000715049,0.265230196576165,-0.0360977649014738
"2002_01_SF_NYG",2002,"NYG",0,0.130681818181818,0,0.869318181818182,1,-3,-2,0,73,7,0.113464538991516,-0.503184328183441,0.153728902077543,-0.0647335660214087
