"game_id","season","team","point_diff","wins","pred_win","home","turnover_diff","dome","temp","wind","off_pass_epa","off_rush_epa","def_pass_epa","def_rush_epa","off_turnovers","def_turnovers"
"2002_01_ARI_WAS",2002,"ARI",-8,0,-0.000431577442213893,0,0,0,76,5,0.0432704545870091,-0.0305013278751479,0.156046887303146,0.0972833259804776,-1,1
"2002_01_ARI_WAS",2002,"WAS",8,1,1.0007061958313,1,0,0,76,5,0.156046887303146,0.0972833259804776,0.0432704545870091,-0.0305013278751479,-1,1
"2002_01_ATL_GB",2002,"ATL",-3,0,-0.000303855660604313,0,0,0,83,9,0.146118209207421,0.430746314304027,0.369263990789121,0.0946882487269158,-1,1
"2002_01_ATL_GB",2002,"GB",3,1,0.99956738948822,1,0,0,83,9,0.369263990789121,0.0946882487269158,0.146118209207421,0.430746314304027,-1,1
"2002_01_BAL_CAR",2002,"BAL",-3,0,0.00243852566927671,0,-1,0,78,12,-0.0548174451215515,-0.0158599225429094,0.00612582573900009,-0.0947762952664294,-1,0
"2002_01_BAL_CAR",2002,"CAR",3,1,0.53056412935257,1,1,0,78,12,0.00612582573900009,-0.0947762952664294,-0.0548174451215515,-0.0158599225429094,0,1
"2002_01_DAL_HOU",2002,"DAL",-9,0,0.00243891403079033,0,0,1,70,0,-0.38774539187681,0.0805006653875655,-0.104499680326354,-0.337145272685614,-1,1
"2002_01_DAL_HOU",2002,"HOU",9,1,1.00068044662476,1,0,1,70,0,-0.104499680326354,-0.337145272685614,-0.38774539187681,0.0805006653875655,-1,1
"2002_01_DET_MIA",2002,"DET",-28,0,0.000652221904601902,0,-1,0,87,12,-0.0101334012905704,-0.0340318481872887,0.693517905617288,0.103897470544325,-1,0
"2002_01_DET_MIA",2002,"MIA",28,1,0.99934595823288,1,1,0,87,12,0.693517905617288,0.103897470544325,-0.0101334012905704,-0.0340318481872887,0,1
"2002_01_IND_JAX",2002,"IND",3,1,0.999475359916687,0,-1,0,85,16,0.16978776728796,-0.00582217408400199,0.041291312002427,0.0523116515852356,-2,1
"2002_01_IND_JAX",2002,"JAX",-3,0,-0.000202585128135979,1,1,0,85,16,0.041291312002427,0.0523116515852356,0.16978776728796,-0.00582217408400199,-1,2
"2002_01_KC_CLE",2002,"CLE",-1,0,0.000416800728999078,1,1,0,86,0,0.356020067388838,-0.0863998509692324,0.347857384331185,0.339760619937702,0,1
"2002_01_KC_CLE",2002,"KC",1,1,0.999336183071136,0,-1,0,86,0,0.347857384331185,0.339760619937702,0.356020067388838,-0.0863998509692324,-1,0
"2002_01_MIN_CHI",2002,"CHI",4,1,1.00022411346436,1,1,0,85,3,0.398882331329968,-0.288845271814234,0.180711693310486,0.0583658701970413,-2,3
"2002_01_MIN_CHI",2002,"MIN",-4,0,-0.00023520526883658,0,-1,0,85,3,0.180711693310486,0.0583658701970413,0.398882331329968,-0.288845271814234,-3,2
"2002_01_NO_TB",2002,"NO",6,1,0.999783873558044,0,0,0,90,6,0.16727139462299,-0.09523316781093,-0.148430149142355,-0.130241632234844,-1,1
"2002_01_NO_TB",2002,"TB",-6,0,-0.000412681722082198,1,0,0,90,6,-0.148430149142355,-0.130241632234844,0.16727139462299,-0.09523316781093,-1,1
"2002_01_NYJ_BUF",2002,"BUF",-6,0,0.000401782541302964,1,-2,0,86,6,0.00311204609044546,-0.0481507772383338,0.221461436624247,-0.551783399453001,-3,1
"2002_01_NYJ_BUF",2002,"NYJ",6,1,0.99904876947403,0,2,0,86,6,0.221461436624247,-0.551783399453001,0.00311204609044546,-0.0481507772383338,-1,3
"2002_01_PHI_TEN",2002,"PHI",-3,0,-0.00214707781560719,0,0,0,83,0,-0.0826700053090607,0.03047790728964,0.369046488991546,-0.256861848917945,-3,3
"2002_01_PHI_TEN",2002,"TEN",3,1,1.00129973888397,1,0,0,83,0,0.369046488991546,-0.256861848917945,-0.0826700053090607,0.03047790728964,-3,3
"2002_01_PIT_NE",2002,"NE",16,1,0.99976372718811,1,-1,0,86,0,0.23725843479734,-0.55863392472245,-0.163402568477977,-0.0856294842867647,-1,0
"2002_01_PIT_NE",2002,"PIT",-16,0,-0.000297170656267554,0,1,0,86,0,-0.163402568477977,-0.0856294842867647,0.23725843479734,-0.55863392472245,0,1
"2002_01_SD_CIN",2002,"CIN",-28,0,-0.0000759163303882815,1,0,0,90,7,-0.122384415835802,-0.411327903464553,0.525416615253003,0.2990389792208,0,0
"2002_01_SD_CIN",2002,"LAC",28,1,0.999923706054688,0,0,0,90,7,0.525416615253003,0.2990389792208,-0.122384415835802,-0.411327903464553,0,0
"2002_01_SEA_OAK",2002,"LV",14,1,1.00013625621796,1,-2,0,70,7,0.265230196576165,-0.0360977649014738,0.120481674761921,-0.246234000715049,-2,0
"2002_01_SEA_OAK",2002,"SEA",-14,0,-0.00270637799985707,0,2,0,70,7,0.120481674761921,-0.246234000715049,0.265230196576165,-0.0360977649014738,0,2
"2002_01_SF_NYG",2002,"NYG",-3,0,-0.0000579529478272889,1,-2,0,73,7,0.113464538991516,-0.503184328183441,0.153728902077543,-0.0647335660214087,-3,1
"2002_01_SF_NYG",2002,"SF",3,1,0.99964827299118,0,2,0,73,7,0.153728902077543,-0.0647335660214087,0.113464538991516,-0.503184328183441,-1,3
"2002_01_STL_DEN",2002,"DEN",7,1,0.996472656726837,1,-1,0,83,4,-0.0786175601875295,-0.0493695453154676,0.111514000228933,-0.205077209838367,-2,1
